iter	Passed	Remaining
235	66280	2742204
236	66531	2740688
237	66812	2740421
238	67083	2739760
239	67358	2739249
240	67593	2737102
241	67861	2736331
242	68117	2735075
243	68398	2734821
244	68655	2733607
245	68928	2733051
246	69172	2731349
247	69454	2731146
248	69696	2729352
249	69967	2728732
250	70251	2728616
251	70505	2727339
252	70764	2726242
253	71040	2725813
254	71282	2724098
255	71530	2722646
256	71830	2723143
257	72068	2721293
258	72321	2720030
259	72557	2718115
260	72825	2717426
261	73115	2717568
262	73387	2717015
263	73637	2715650
264	73927	2715802
265	74183	2714684
266	74440	2713589
267	74699	2712601
268	74931	2710619
269	75250	2711805
270	75513	2710953
271	75786	2710468
272	76034	2709101
273	76322	2709158
274	76581	2708203
275	76863	2708058
276	77115	2706820
277	77356	2705266
278	77643	2705293
279	77892	2703989
280	78177	2703941
281	78463	2703946
282	78732	2703347
283	78980	2702035
284	79228	2700708
285	79489	2699849
286	79780	2700030
287	80049	2699460
288	80312	2698656
289	80610	2699064
290	80868	2698123
291	81126	2697185
292	81385	2696273
293	81621	2694617
294	81930	2695373
295	82206	2695054
296	82440	2693321
297	82682	2691887
298	82949	2691265
299	83252	2691833
300	83510	2690928
301	83764	2689900
302	84055	2690050
303	84324	2689509
304	84590	2688862
305	84858	2688302
306	85100	2686896
307	85359	2686051
308	85679	2687133
309	85919	2685677
310	86226	2686339
311	86492	2685691
312	86805	2686532
313	87068	2685819
314	87312	2684522
315	87592	2684326
316	87842	2683204
317	88123	2683065
318	88377	2682092
319	88635	2681235
320	88919	2681148
321	89162	2679864
322	89418	2678945
323	89676	2678118
324	89967	2678269
325	90216	2677173
326	90454	2675724
327	90717	2675057
328	90975	2674226
329	91264	2674335
330	91531	2673765
331	91775	2672560
332	92084	2673218
333	92325	2671911
334	92581	2671049
335	92841	2670300
336	93111	2669833
337	93341	2668244
338	93644	2668733
339	93879	2667284
340	94145	2666727
341	94389	2665545
342	94677	2665608
343	94938	2664889
344	95189	2663933
345	95453	2663319
346	95782	2664517
347	96077	2664781
348	96339	2664118
349	96604	2663537
350	96870	2662960
351	97142	2662594
352	97457	2663388
353	97712	2662520
354	97948	2661157
355	98230	2661053
356	98474	2659927
357	98739	2659349
358	99009	2658908
359	99287	2658702
360	99543	2657906
361	99802	2657170
362	100069	2656654
363	100355	2656661
364	100607	2655753
365	100891	2655707
366	101149	2654971
367	101406	2654202
368	101686	2654057
369	101984	2654349
370	102220	2653053
371	102480	2652378
372	102750	2651941
373	102998	2650983
374	103240	2649848
375	103511	2649444
376	103782	2649077
377	104056	2648768
378	104320	2648199
379	104588	2647729
380	104849	2647095
381	105109	2646440
382	105376	2645959
383	105637	2645328
384	105874	2644102
385	106157	2644035
386	106415	2643347
387	106681	2642837
388	106979	2643146
389	107259	2642976
390	107492	2641683
391	107747	2640912
392	108026	2640728
393	108302	2640484
394	108585	2640411
395	108835	2639541
396	109094	2638885
397	109359	2638370
398	109652	2638533
399	109916	2637993
400	110153	2636816
401	110420	2636359
402	110725	2636798
403	110995	2636428
404	111241	2635470
405	111502	2634873
406	111799	2635124
407	112066	2634670
408	112359	2634807
409	112619	2634189
410	112917	2634476
411	113188	2634100
412	113462	2633802
413	113729	2633361
414	114015	2633357
415	114292	2633133
416	114524	2631876
417	114801	2631643
418	115075	2631355
419	115359	2631287
420	115662	2631673
421	115938	2631417
422	116224	2631404
423	116491	2630948
424	116748	2630274
425	117026	2630077
426	117275	2629213
427	117545	2628834
428	117797	2628061
429	118067	2627684
430	118333	2627218
431	118620	2627226
432	118868	2626354
433	119154	2626330
434	119439	2626303
435	119749	2626802
436	120004	2626104
437	120270	2625628
438	120533	2625114
439	120812	2624917
440	121090	2624727
441	121320	2623478
442	121585	2623010
443	121870	2622964
444	122189	2623633
445	122448	2623024
446	122712	2622528
447	122969	2621888
448	123243	2621607
449	123545	2621902
450	123796	2621136
451	124044	2620309
452	124335	2620381
453	124598	2619868
454	124853	2619178
455	125124	2618843
456	125430	2619223
457	125718	2619222
458	125984	2618778
459	126243	2618190
460	126532	2618212
461	126778	2617353
462	127031	2616628
463	127278	2615785
464	127555	2615582
465	127806	2614824
466	128066	2614247
467	128328	2613731
468	128585	2613119
469	128855	2612745
470	129086	2611607
471	129343	2610976
472	129624	2610853
473	129898	2610577
474	130192	2610701
475	130450	2610108
476	130704	2609436
477	130979	2609167
478	131275	2609344
479	131535	2608789
480	131798	2608297
481	132070	2607981
482	132341	2607638
483	132605	2607176
484	132845	2606230
485	133123	2606051
486	133396	2605749
487	133651	2605105
488	133903	2604411
489	134198	2604538
490	134460	2604043
491	134749	2604053
492	135015	2603631
493	135278	2603143
494	135538	2602620
495	135861	2603272
496	136173	2603743
497	136461	2603726
498	136773	2604175
499	137084	2604603
500	137372	2604600
501	137662	2604622
502	137928	2604185
503	138218	2604219
504	138493	2603956
505	138784	2603993
506	139091	2604327
507	139375	2604227
508	139626	2603519
509	139940	2603991
510	140273	2604800
511	140524	2604087
512	140765	2603204
513	141040	2602931
514	141306	2602510
515	141558	2601819
516	141809	2601121
517	142077	2600736
518	142344	2600320
519	142628	2600227
520	142896	2599834
521	143160	2599376
522	143417	2598795
523	143705	2598773
524	143958	2598115
525	144202	2597281
526	144465	2596819
527	144758	2596875
528	145008	2596172
529	145277	2595815
530	145509	2594788
531	145752	2593948
532	146049	2594097
533	146301	2593424
534	146546	2592644
535	146824	2592441
536	147112	2592409
537	147387	2592158
538	147648	2591663
539	147946	2591803
540	148240	2591871
541	148534	2591948
542	148811	2591727
543	149066	2591130
544	149314	2590394
545	149595	2590244
546	149855	2589739
547	150092	2588828
548	150362	2588479
549	150650	2588449
550	150910	2587936
551	151195	2587857
552	151434	2586988
553	151713	2586799
554	152005	2586826
555	152261	2586260
556	152489	2585209
557	152810	2585732
558	153076	2585329
559	153366	2585328
560	153614	2584604
561	153867	2583982
562	154129	2583514
563	154392	2583065
564	154658	2582652
565	154940	2582529
566	155319	2583999
567	155633	2584397
568	155937	2584620
569	156220	2584497
570	156493	2584191
571	156758	2583781
572	157001	2582988
573	157296	2583060
574	157563	2582679
575	157822	2582153
576	158071	2581463
577	158333	2581003
578	158624	2581009
579	158877	2580396
580	159138	2579904
581	159378	2579089
582	159682	2579289
583	160003	2579780
