iter	Logloss
0	0.6785555323
1	0.6641269168
2	0.6517162877
3	0.6395927042
4	0.6276375185
5	0.6164813576
6	0.6069919007
7	0.5968917686
8	0.5883856509
9	0.5800726346
10	0.572750958
11	0.5654531381
12	0.5586159946
13	0.5533325158
14	0.5470802499
15	0.5418097204
16	0.5369583758
17	0.5318980331
18	0.5275095091
19	0.523283541
20	0.5195743524
21	0.5158146006
22	0.5120258587
23	0.5088779708
24	0.5060755224
25	0.5031953251
26	0.499976357
27	0.4976683942
28	0.4953990623
29	0.4931604827
30	0.4911984867
31	0.4888453346
32	0.4867089065
33	0.4848343615
34	0.482915968
35	0.4814562133
36	0.4800798404
37	0.4789973661
38	0.477330044
39	0.4760673499
40	0.4745615673
41	0.4733295785
42	0.4720179832
43	0.4707598891
44	0.4697100374
45	0.4687539281
46	0.4678863645
47	0.4669697553
48	0.4661612306
49	0.4654978597
50	0.4645904026
51	0.4637049042
52	0.4628659899
53	0.4621115755
54	0.4613572966
55	0.4606108224
56	0.4600271575
57	0.459429452
58	0.458676869
59	0.4581181623
60	0.4575387796
61	0.4568489751
62	0.4564315219
63	0.4558484703
64	0.4552654194
65	0.4548163891
66	0.4543135572
67	0.4538790747
68	0.4533830025
69	0.4530414891
70	0.4525658651
71	0.4521505643
72	0.4518238408
73	0.4513932304
74	0.4510544733
75	0.450767352
76	0.4502956517
77	0.4499636084
78	0.449667216
79	0.4494230988
80	0.4491129112
81	0.4488652124
82	0.448617449
83	0.4482511186
84	0.448102103
85	0.4478728041
86	0.4476908511
87	0.4473561609
88	0.4470748279
89	0.4469064781
90	0.4467162954
91	0.4465546651
92	0.446412131
93	0.4461563017
94	0.4459132188
95	0.4457418847
96	0.44549301
97	0.4453201462
98	0.4451370577
99	0.4449294834
100	0.4447375329
101	0.4445495762
102	0.4443922695
103	0.4441766007
104	0.4439936889
105	0.4438828654
106	0.4437088712
107	0.4435583048
108	0.4433467782
109	0.4430934694
110	0.4429478659
111	0.44280033
112	0.4426960241
113	0.4425297323
114	0.4424021614
115	0.442289378
116	0.4421524779
117	0.4419886967
118	0.4418805937
119	0.4417689119
120	0.441628875
